Country,Region,Population,GDP ($ per capita),Literacy (%),Climate
Greenland ,NORTHERN AMERICA                   ,56361,20000.0,,1.0
Grenada ,LATIN AMER. & CARIB    ,89703,5000.0,98.0,2.0
Guadeloupe ,LATIN AMER. & CARIB    ,452776,8000.0,90.0,2.0
Guam ,OCEANIA                            ,171019,21000.0,99.0,2.0
Guatemala ,LATIN AMER. & CARIB    ,12293545,4100.0,70.6,2.0
Guernsey ,WESTERN EUROPE                     ,65409,20000.0,,3.0
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,2100.0,35.9,2.0
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,800.0,42.4,2.0
Guyana ,LATIN AMER. & CARIB    ,767245,4000.0,98.8,2.0
Haiti ,LATIN AMER. & CARIB    ,8308504,1600.0,52.9,2.0
Honduras ,LATIN AMER. & CARIB    ,7326496,2600.0,76.2,2.0
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,28800.0,93.5,2.0
Hungary ,EASTERN EUROPE                     ,9981334,13900.0,99.4,3.0
Iceland ,WESTERN EUROPE                     ,299388,30900.0,99.9,3.0
India ,ASIA (EX. NEAR EAST)         ,1095351995,2900.0,59.5,2.5
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,3200.0,87.9,2.0
Iran ,ASIA (EX. NEAR EAST)         ,68688433,7000.0,79.4,1.0
Iraq ,NEAR EAST                          ,26783383,1500.0,40.4,1.0
Ireland ,WESTERN EUROPE                     ,4062235,29600.0,98.0,3.0
Isle of Man ,WESTERN EUROPE                     ,75441,21000.0,,3.0
Israel ,NEAR EAST                          ,6352117,19800.0,95.4,3.0
Italy ,WESTERN EUROPE                     ,58133509,26700.0,98.6,
Jamaica ,LATIN AMER. & CARIB    ,2758124,3900.0,87.9,2.0
Japan ,ASIA (EX. NEAR EAST)         ,127463611,28200.0,99.0,3.0
Jersey ,WESTERN EUROPE                     ,91084,24800.0,,3.0
Jordan ,NEAR EAST                          ,5906760,4300.0,91.3,1.0
Kazakhstan ,C.W. OF IND. STATES ,15233244,6300.0,98.4,4.0
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,1000.0,85.1,1.5
Kiribati ,OCEANIA                            ,105432,800.0,,2.0
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,1300.0,99.0,3.0
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,17800.0,97.9,3.0
Kuwait ,NEAR EAST                          ,2418393,19000.0,83.5,1.0
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,1600.0,97.0,2.5
Laos ,ASIA (EX. NEAR EAST)         ,6368481,1700.0,66.4,2.0
Latvia ,BALTICS                            ,2274735,10200.0,99.8,3.0
Lebanon ,NEAR EAST                          ,3874050,4800.0,87.4,
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,3000.0,84.8,3.0
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,1000.0,57.5,2.0
Libya ,NORTHERN AFRICA                    ,5900754,6400.0,82.6,
Liechtenstein ,WESTERN EUROPE                     ,33987,25000.0,100.0,4.0
Lithuania ,BALTICS                            ,3585906,11400.0,99.6,
Luxembourg ,WESTERN EUROPE                     ,474413,55100.0,100.0,
Macau ,ASIA (EX. NEAR EAST)         ,453125,19400.0,94.5,2.0
Macedonia ,EASTERN EUROPE                     ,2050554,6700.0,,3.0
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,800.0,68.9,2.0
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,600.0,62.7,2.0
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,9000.0,88.7,2.0
Maldives ,ASIA (EX. NEAR EAST)         ,359008,3900.0,97.2,2.0
Mali ,SUB-SAHARAN AFRICA                 ,11716829,900.0,46.4,2.0
Malta ,WESTERN EUROPE                     ,400214,17700.0,92.8,
Marshall Islands ,OCEANIA                            ,60422,1600.0,93.7,2.0
Martinique ,LATIN AMER. & CARIB    ,436131,14400.0,97.7,2.0
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1800.0,41.7,1.0
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,11400.0,85.6,2.0
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,2600.0,,2.0
Mexico ,LATIN AMER. & CARIB    ,107449525,9000.0,92.2,1.5
"Micronesia, Fed. St. ",OCEANIA                            ,108004,2000.0,89.0,2.0
Moldova ,C.W. OF IND. STATES ,4466706,1800.0,99.1,
Monaco ,WESTERN EUROPE                     ,32543,27000.0,99.0,
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1800.0,97.8,1.0
Montserrat ,LATIN AMER. & CARIB    ,9439,3400.0,97.0,2.0
Morocco ,NORTHERN AFRICA                    ,33241259,4000.0,51.7,
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,1200.0,47.8,2.0
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,7200.0,84.0,1.0
Nauru ,OCEANIA                            ,13287,5000.0,,2.0
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,1400.0,45.2,
Netherlands ,WESTERN EUROPE                     ,16491461,28600.0,99.0,3.0
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,11400.0,96.7,2.0
New Caledonia ,OCEANIA                            ,219246,15000.0,91.0,2.0
New Zealand ,OCEANIA                            ,4076140,21600.0,99.0,3.0
Nicaragua ,LATIN AMER. & CARIB    ,5570129,2300.0,67.5,2.0
Niger ,SUB-SAHARAN AFRICA                 ,12525094,800.0,17.6,1.0
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,900.0,68.0,1.5
N. Mariana Islands ,OCEANIA                            ,82459,12500.0,97.0,2.0
Norway ,WESTERN EUROPE                     ,4610820,37800.0,100.0,3.0
Oman ,NEAR EAST                          ,3102229,13100.0,75.8,1.0
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,2100.0,45.7,1.0
Palau ,OCEANIA                            ,20579,9000.0,92.0,2.0
Panama ,LATIN AMER. & CARIB    ,3191319,6300.0,92.6,2.0
Papua New Guinea ,OCEANIA                            ,5670544,2200.0,64.6,2.0
Paraguay ,LATIN AMER. & CARIB    ,6506464,4700.0,94.0,2.0
Peru ,LATIN AMER. & CARIB    ,28302603,5100.0,90.9,1.5
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,4600.0,92.6,2.0
Poland ,EASTERN EUROPE                     ,38536869,11100.0,99.8,3.0
Portugal ,WESTERN EUROPE                     ,10605870,18000.0,93.3,3.0
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,16800.0,94.1,2.0
Qatar ,NEAR EAST                          ,885359,21500.0,82.5,1.0
Reunion ,SUB-SAHARAN AFRICA                 ,787584,5800.0,88.9,2.0
Romania ,EASTERN EUROPE                     ,22303552,7000.0,98.4,3.0
Russia ,C.W. OF IND. STATES ,142893540,8900.0,99.6,
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,1300.0,70.4,3.0
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,2500.0,97.0,
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,8800.0,97.0,2.0
Saint Lucia ,LATIN AMER. & CARIB    ,168458,5400.0,67.0,2.0
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,6900.0,99.0,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,2900.0,96.0,2.0
Samoa ,OCEANIA                            ,176908,5600.0,99.7,2.0
San Marino ,WESTERN EUROPE                     ,29251,34600.0,96.0,
